component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
w_comp_cor_169	WM	82.0438970376	0.0011347271	0.3029911964	True
w_comp_cor_170	WM	81.9749107893	0.0011328196	0.304124016	True
w_comp_cor_171	WM	81.9264996504	0.001131482	0.3052554981	True
w_comp_cor_172	WM	81.8600162659	0.0011296464	0.3063851444	True
w_comp_cor_173	WM	81.7966147228	0.0011278972	0.3075130416	True
w_comp_cor_174	WM	81.7443974251	0.0011264576	0.3086394992	True
w_comp_cor_175	WM	81.607250182	0.0011226809	0.3097621802	True
w_comp_cor_176	WM	81.5824195102	0.0011219978	0.310884178	True
w_comp_cor_177	WM	81.5294059144	0.0011205401	0.3120047181	True
w_comp_cor_178	WM	81.4935859272	0.0011195557	0.3131242739	True
w_comp_cor_179	WM	81.418531042	0.0011174945	0.3142417683	True
w_comp_cor_180	WM	81.3812024673	0.00111647	0.3153582383	True
w_comp_cor_181	WM	81.2776014022	0.0011136292	0.3164718675	True
w_comp_cor_182	WM	81.2669535945	0.0011133374	0.317585205	True
w_comp_cor_183	WM	81.1584451983	0.0011103664	0.3186955714	True
w_comp_cor_184	WM	81.0933170159	0.001108585	0.3198041563	True
w_comp_cor_185	WM	81.0292769297	0.0011068347	0.3209109911	True
w_comp_cor_186	WM	80.9665180456	0.0011051209	0.3220161119	True
w_comp_cor_187	WM	80.8705401913	0.0011025024	0.3231186144	True
w_comp_cor_188	WM	80.8180869311	0.0011010727	0.324219687	True
w_comp_cor_189	WM	80.7897123028	0.0011002997	0.3253199867	True
w_comp_cor_190	WM	80.6634808371	0.001096864	0.3264168507	True
w_comp_cor_191	WM	80.6568517905	0.0010966837	0.3275135344	True
w_comp_cor_192	WM	80.6049743238	0.0010952734	0.3286088078	True
w_comp_cor_193	WM	80.5434773249	0.0010936028	0.3297024106	True
w_comp_cor_194	WM	80.4286654864	0.0010904872	0.3307928978	True
w_comp_cor_195	WM	80.3302878282	0.0010878212	0.331880719	True
w_comp_cor_196	WM	80.3237383909	0.0010876438	0.3329683628	True
w_comp_cor_197	WM	80.2793402532	0.0010864418	0.3340548045	True
w_comp_cor_198	WM	80.2049921591	0.0010844303	0.3351392349	True
w_comp_cor_199	WM	80.0746554795	0.0010809087	0.3362201436	True
w_comp_cor_200	WM	80.040102231	0.0010799761	0.3373001196	True
w_comp_cor_201	WM	80.0059497645	0.0010790546	0.3383791742	True
w_comp_cor_202	WM	79.9545568479	0.0010776688	0.339456843	True
w_comp_cor_203	WM	79.8963801675	0.0010761011	0.3405329441	True
w_comp_cor_204	WM	79.8492521539	0.0010748319	0.341607776	True
w_comp_cor_205	WM	79.7717295656	0.0010727459	0.342680522	True
w_comp_cor_206	WM	79.7444045501	0.0010720111	0.3437525331	True
w_comp_cor_207	WM	79.6095281069	0.0010683879	0.344820921	True
w_comp_cor_208	WM	79.5451483946	0.0010666606	0.3458875816	True
w_comp_cor_209	WM	79.522504825	0.0010660534	0.346953635	True
w_comp_cor_210	WM	79.4109453666	0.0010630644	0.3480166994	True
w_comp_cor_211	WM	79.3597516659	0.0010616942	0.3490783936	True
w_comp_cor_212	WM	79.3331631936	0.0010609829	0.3501393766	True
w_comp_cor_213	WM	79.2318959312	0.001058276	0.3511976526	True
w_comp_cor_214	WM	79.1628503611	0.0010564324	0.352254085	True
w_comp_cor_215	WM	79.1363207809	0.0010557244	0.3533098094	True
w_comp_cor_216	WM	79.0598767853	0.0010536858	0.3543634952	True
w_comp_cor_217	WM	79.0018726967	0.0010521402	0.3554156354	True
w_comp_cor_218	WM	78.9286821291	0.0010501916	0.3564658271	True
w_comp_cor_219	WM	78.8507194174	0.001048118	0.3575139451	True
w_comp_cor_220	WM	78.835576652	0.0010477155	0.3585616605	True
w_comp_cor_221	WM	78.7589907387	0.0010456808	0.3596073414	True
w_comp_cor_222	WM	78.704561562	0.001044236	0.3606515774	True
w_comp_cor_223	WM	78.6570020999	0.0010429744	0.3616945517	True
w_comp_cor_224	WM	78.5654813942	0.0010405487	0.3627351004	True
w_comp_cor_225	WM	78.5028538754	0.0010388904	0.3637739909	True
w_comp_cor_226	WM	78.4024210766	0.0010362339	0.3648102248	True
w_comp_cor_227	WM	78.3807488802	0.0010356611	0.3658458859	True
w_comp_cor_228	WM	78.3550114534	0.0010349811	0.366880867	True
w_comp_cor_229	WM	78.3289302706	0.0010342922	0.3679151592	True
w_comp_cor_230	WM	78.2471830398	0.0010321345	0.3689472937	True
w_comp_cor_231	WM	78.188098788	0.0010305763	0.36997787	True
w_comp_cor_232	WM	78.1634302998	0.0010299261	0.3710077961	True
w_comp_cor_233	WM	78.1514732908	0.0010296111	0.3720374072	True
w_comp_cor_234	WM	78.0429276477	0.001026753	0.3730641602	True
w_comp_cor_235	WM	78.0188318895	0.001026119	0.3740902792	True
w_comp_cor_236	WM	77.9549774407	0.0010244401	0.3751147193	True
w_comp_cor_237	WM	77.9118060008	0.0010233057	0.376138025	True
w_comp_cor_238	WM	77.8321709702	0.0010212149	0.3771592399	True
w_comp_cor_239	WM	77.7730530819	0.0010196642	0.3781789041	True
w_comp_cor_240	WM	77.6757890752	0.0010171153	0.3791960194	True
w_comp_cor_241	WM	77.6116327725	0.0010154359	0.3802114553	True
w_comp_cor_242	WM	77.5943079795	0.0010149826	0.3812264378	True
w_comp_cor_243	WM	77.4369313268	0.0010108696	0.3822373074	True
