component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
dropped398	Edge	104.3174770422	0.0003371812	0.7089770427	False
dropped399	Edge	104.2776806128	0.0003369239	0.7093139666	False
dropped400	Edge	104.2324832759	0.0003366319	0.7096505986	False
dropped401	Edge	104.1618023330	0.0003361756	0.7099867741	False
dropped402	Edge	104.1418809370	0.0003360470	0.7103228211	False
dropped403	Edge	104.0723089422	0.0003355981	0.7106584192	False
dropped404	Edge	104.0611342688	0.0003355261	0.7109939453	False
dropped405	Edge	103.9491379232	0.0003348042	0.7113287495	False
dropped406	Edge	103.9006628159	0.0003344920	0.7116632416	False
dropped407	Edge	103.8501993066	0.0003341672	0.7119974088	False
dropped408	Edge	103.8155333776	0.0003339441	0.7123313529	False
dropped409	Edge	103.7575655748	0.0003335713	0.7126649243	False
dropped410	Edge	103.6609456623	0.0003329504	0.7129978746	False
dropped411	Edge	103.6516784542	0.0003328908	0.7133307654	False
dropped412	Edge	103.6155375799	0.0003326587	0.7136634242	False
dropped413	Edge	103.5309119625	0.0003321156	0.7139955397	False
dropped414	Edge	103.4915353960	0.0003318630	0.7143274027	False
dropped415	Edge	103.4327399094	0.0003314860	0.7146588887	False
dropped416	Edge	103.3633633932	0.0003310415	0.7149899302	False
dropped417	Edge	103.3061045818	0.0003306748	0.7153206051	False
dropped418	Edge	103.2424123570	0.0003302672	0.7156508723	False
dropped419	Edge	103.1128015350	0.0003294385	0.7159803107	False
dropped420	Edge	103.0537781196	0.0003290614	0.7163093722	False
dropped421	Edge	103.0105389710	0.0003287854	0.7166381575	False
dropped422	Edge	102.9832442792	0.0003286111	0.7169667687	False
dropped423	Edge	102.9793948788	0.0003285866	0.7172953553	False
dropped424	Edge	102.9472586541	0.0003283815	0.7176237368	False
dropped425	Edge	102.8536641539	0.0003277847	0.7179515215	False
dropped426	Edge	102.8203008775	0.0003275721	0.7182790936	False
dropped427	Edge	102.7618469117	0.0003271997	0.7186062934	False
dropped428	Edge	102.7035100628	0.0003268284	0.7189331217	False
dropped429	Edge	102.6649540875	0.0003265830	0.7192597047	False
dropped430	Edge	102.6026330693	0.0003261866	0.7195858914	False
dropped431	Edge	102.5929178277	0.0003261249	0.7199120162	False
dropped432	Edge	102.4945242940	0.0003254996	0.7202375159	False
dropped433	Edge	102.4442117938	0.0003251801	0.7205626960	False
dropped434	Edge	102.3987755826	0.0003248918	0.7208875877	False
dropped435	Edge	102.3620467322	0.0003246587	0.7212122465	False
dropped436	Edge	102.2657556559	0.0003240482	0.7215362947	False
dropped437	Edge	102.2291353191	0.0003238162	0.7218601108	False
dropped438	Edge	102.1943180864	0.0003235956	0.7221837065	False
dropped439	Edge	102.1839452898	0.0003235299	0.7225072364	False
dropped440	Edge	102.0993849409	0.0003229947	0.7228302311	False
dropped441	Edge	102.0661041154	0.0003227842	0.7231530153	False
dropped442	Edge	101.9973078922	0.0003223492	0.7234753645	False
dropped443	Edge	101.9311128373	0.0003219309	0.7237972954	False
dropped444	Edge	101.9024384781	0.0003217498	0.7241190452	False
dropped445	Edge	101.8476248018	0.0003214038	0.7244404490	False
dropped446	Edge	101.8261442392	0.0003212682	0.7247617172	False
dropped447	Edge	101.7592224462	0.0003208461	0.7250825633	False
dropped448	Edge	101.7216915281	0.0003206094	0.7254031727	False
dropped449	Edge	101.6891805032	0.0003204045	0.7257235772	False
dropped450	Edge	101.6414972392	0.0003201041	0.7260436814	False
dropped451	Edge	101.6081711757	0.0003198942	0.7263635756	False
dropped452	Edge	101.5491825315	0.0003195229	0.7266830985	False
dropped453	Edge	101.4869094594	0.0003191312	0.7270022297	False
dropped454	Edge	101.4429021129	0.0003188545	0.7273210841	False
dropped455	Edge	101.4224315610	0.0003187258	0.7276398099	False
dropped456	Edge	101.3583521895	0.0003183232	0.7279581331	False
dropped457	Edge	101.3013362153	0.0003179651	0.7282760982	False
dropped458	Edge	101.2352812569	0.0003175506	0.7285936488	False
dropped459	Edge	101.2100893731	0.0003173926	0.7289110414	False
dropped460	Edge	101.1611206225	0.0003170855	0.7292281269	False
dropped461	Edge	101.0830167376	0.0003165961	0.7295447230	False
dropped462	Edge	101.0647250007	0.0003164815	0.7298612046	False
dropped463	Edge	101.0116226497	0.0003161490	0.7301773536	False
dropped464	Edge	100.9275623398	0.0003156231	0.7304929766	False
dropped465	Edge	100.9087454096	0.0003155054	0.7308084820	False
dropped466	Edge	100.8436495678	0.0003150984	0.7311235805	False
dropped467	Edge	100.8073544004	0.0003148717	0.7314384521	False
dropped468	Edge	100.7410385484	0.0003144575	0.7317529097	False
dropped469	Edge	100.6603467527	0.0003139540	0.7320668637	False
dropped470	Edge	100.6347507309	0.0003137943	0.7323806580	False
dropped471	Edge	100.6088127154	0.0003136326	0.7326942906	False
dropped472	Edge	100.5653198494	0.0003133615	0.7330076521	False
dropped473	Edge	100.5067830811	0.0003129968	0.7333206489	False
dropped474	Edge	100.4732808998	0.0003127882	0.7336334371	False
dropped475	Edge	100.4217113757	0.0003124672	0.7339459042	False
dropped476	Edge	100.3442576109	0.0003119854	0.7342578896	False
dropped477	Edge	100.2830017930	0.0003116046	0.7345694942	False
dropped478	Edge	100.2549150497	0.0003114300	0.7348809242	False
dropped479	Edge	100.1923867970	0.0003110417	0.7351919659	False
dropped480	Edge	100.1648165267	0.0003108705	0.7355028364	False
dropped481	Edge	100.1033315719	0.0003104890	0.7358133254	False
dropped482	Edge	100.0714587445	0.0003102913	0.7361236167	False
