edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23
-0.0153295772	0.0040921520	-0.0220151053	-0.0248310281	0.0101338816	0.0137822014	-0.0042356250	-0.0068112527	0.0169742522	0.0033017657	0.0128882634	0.0303394148	0.0123187695	-0.0199649744	-0.0071782435	0.0113530048	0.0001096540	-0.0124993208	0.0241583920	-0.0117758973	0.0118135492	0.0213710150	-0.0200496479	0.0101708617
-0.0095394222	-0.0004626937	-0.0231885602	-0.0097897256	0.0158735347	-0.0095065868	-0.0168765322	0.0087160584	0.0361956816	-0.0088526059	-0.0203176876	0.0146895201	0.0004508976	-0.0124208063	-0.0080731669	0.0027100568	-0.0068859729	0.0042813707	0.0026264474	0.0111120889	-0.0011600968	0.0165165772	-0.0255877616	0.0007312723
-0.0070587333	-0.0009781831	-0.0260400017	-0.0078698410	0.0157813301	-0.0092254711	-0.0167539331	-0.0021878920	0.0190852542	0.0147210434	-0.0234052014	-0.0184631198	-0.0167348291	0.0014096051	-0.0246592319	0.0123427027	-0.0040018798	-0.0215679934	0.0131627040	0.0097413795	-0.0017323771	0.0331031324	0.0004922195	-0.0013572474
-0.0189406826	0.0013560577	-0.0235131023	0.0038351564	0.0034059738	-0.0001654906	-0.0069813201	-0.0120721408	0.0077684269	0.0368599140	0.0089269996	-0.0000582778	0.0081322021	-0.0098811801	0.0165587161	0.0067869836	-0.0101165943	0.0065670154	0.0051732167	0.0221518643	-0.0055963767	0.0092549593	-0.0259456493	0.0055239310
-0.0331509831	-0.0161767533	-0.0239683836	0.0261734305	-0.0331366988	0.0097214979	-0.0426923817	0.0018242851	0.0022435492	0.0000889522	-0.0017066259	0.0252819399	-0.0164820431	-0.0261528239	-0.0125283149	0.0374652993	0.0233850988	-0.0366348482	0.0012493980	0.0034950401	-0.0046348057	-0.0108387260	-0.0035703752	-0.0147978028
-0.0074384897	-0.0171941256	-0.0217674223	0.0058427049	-0.0028864238	-0.0131946977	-0.0556952424	0.0320863716	0.0223322058	0.0071550545	-0.0136756680	-0.0071485988	-0.0091476094	-0.0167157308	-0.0301326159	0.0099310848	-0.0096067052	-0.0242354429	0.0158479417	-0.0215264442	-0.0217372315	0.0199514286	0.0095439683	-0.0154805709
-0.0030936002	-0.0173976759	-0.0272652218	0.0365352803	-0.0159647216	-0.0144290672	-0.0213887830	0.0190948034	-0.0184597690	0.0244661505	-0.0005032368	-0.0096479027	-0.0167349065	0.0208450792	-0.0242755599	0.0243974835	-0.0023728793	0.0037101271	-0.0024270969	0.0463974333	-0.0039612335	0.0198225253	0.0084944208	-0.0106787673
-0.0053976383	-0.0305601973	-0.0254668492	0.0353268755	-0.0323695415	-0.0033279944	-0.0241866106	0.0075569683	-0.0291620339	-0.0121113614	0.0207229176	0.0214911632	0.0020092703	-0.0074015353	-0.0031801939	0.0246625659	0.0004069882	-0.0166476086	0.0171243308	-0.0323001120	-0.0271733442	0.0246185571	0.0130377915	0.0046805972
0.0090035589	-0.0256480170	-0.0319918000	0.0241075114	-0.0138978801	-0.0141672019	-0.0223738307	0.0348602543	-0.0102584916	-0.0054806467	-0.0259526905	-0.0032649008	0.0158370076	-0.0016742603	0.0193859800	-0.0010368136	-0.0141814496	0.0191425842	0.0084525575	0.0143856051	-0.0093254342	0.0166804275	-0.0000797600	-0.0113582681
0.0102185327	-0.0100626761	-0.0441101137	0.0220719514	-0.0159125290	0.0063182867	0.0064594832	0.0568832710	-0.0111766292	0.0207520334	-0.0224940878	-0.0162528001	-0.0061496264	-0.0098751660	-0.0181992271	-0.0098091143	-0.0020443161	0.0074725398	0.0293038688	-0.0232600039	0.0223898571	0.0227091750	-0.0441725313	0.0068618638
0.0049341357	-0.0011382450	-0.0467442851	0.0120238294	-0.0106580165	0.0097124044	0.0011169095	0.0336410041	-0.0248411266	0.0432835462	-0.0065032778	0.0012036041	-0.0082712133	0.0008045535	-0.0101326324	-0.0141616693	0.0088876452	0.0205320108	0.0170972569	0.0176607208	0.0190084372	0.0189586827	-0.0428279722	0.0026149138
0.0021896776	-0.0023285234	-0.0460414375	-0.0030456959	-0.0123841213	0.0259421244	-0.0066899805	0.0301538715	-0.0235124422	0.0147382043	0.0050699012	0.0345324864	-0.0055118542	-0.0190015016	-0.0022478521	-0.0182791035	-0.0007922749	0.0084050958	0.0370012845	-0.0312513543	0.0157605293	0.0201023203	-0.0415908416	0.0162815762
0.0079484432	0.0118829989	-0.0492084474	0.0045511153	0.0009903476	0.0042393423	-0.0151927510	0.0391348006	-0.0049413856	0.0053347664	-0.0384158823	0.0272827087	-0.0129634241	-0.0121249461	-0.0095855351	-0.0351505619	0.0016278517	0.0221476241	0.0084871901	0.0033793444	0.0093707059	0.0155565183	-0.0479629211	0.0023684267
0.0154882515	0.0185765912	-0.0524913464	0.0106195984	0.0021012944	0.0029719843	-0.0081895320	0.0339070067	-0.0257265722	0.0315403334	-0.0367378654	-0.0047048200	-0.0195685496	-0.0046571685	-0.0244059107	-0.0407397036	0.0104911279	-0.0075322953	0.0217705516	-0.0111431083	0.0176835109	0.0389182631	-0.0270953052	0.0008019791
