Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	Cosine06	Cosine07	Cosine08	Cosine09	Cosine10	Cosine11	Cosine12	Cosine13	Cosine14	Cosine15	Cosine16	Cosine17	Cosine18	Cosine19	Cosine20	Cosine21	Cosine22	Cosine23	Cosine24	Cosine25	Cosine26	Cosine27	Cosine28	Cosine29
0.0316184755	0.0316055734	0.0315840738	0.0315539826	0.0315153078	0.0314680602	0.0314122524	0.0313478998	0.0312750197	0.0311936320	0.0311037589	0.0310054248	0.0308986565	0.0307834830	0.0306599356	0.0305280479	0.0303878558	0.0302393975	0.0300827134	0.0299178459	0.0297448401	0.0295637430	0.0293746038	0.0291774739	0.0289724071	0.0287594590	0.0285386877	0.0283101531	0.0280739175	0.0278300451
0.0316176173	0.0316021409	0.0315763527	0.0315402609	0.0314938774	0.0314372173	0.0313702991	0.0312931445	0.0312057789	0.0311082307	0.0310005317	0.0308827170	0.0307548252	0.0306168980	0.0304689803	0.0303111204	0.0301433699	0.0299657834	0.0297784189	0.0295813376	0.0293746038	0.0291582848	0.0289324514	0.0286971772	0.0284525390	0.0281986165	0.0279354927	0.0276632535	0.0273819875	0.0270917867
0.0316166810	0.0315983966	0.0315679304	0.0315252941	0.0314705043	0.0314035820	0.0313245530	0.0312334477	0.0311303014	0.0310151538	0.0308880493	0.0307490368	0.0305981699	0.0304355069	0.0302611105	0.0300750478	0.0298773905	0.0296682150	0.0294476019	0.0292156361	0.0289724071	0.0287180087	0.0284525390	0.0281761003	0.0278887991	0.0275907463	0.0272820568	0.0269628494	0.0266332474	0.0262933778
0.0316156667	0.0315943404	0.0315588070	0.0315090828	0.0314451899	0.0313671572	0.0312750197	0.0311688188	0.0310486024	0.0309144244	0.0307663453	0.0306044315	0.0304287559	0.0302393975	0.0300364415	0.0298199791	0.0295901076	0.0293469304	0.0290905568	0.0288211022	0.0285386877	0.0282434403	0.0279354927	0.0276149835	0.0272820568	0.0269368621	0.0265795549	0.0262102957	0.0258292507	0.0254365910
0.0316145745	0.0315899723	0.0315489829	0.0314916275	0.0314179359	0.0313279462	0.0312217052	0.0310992680	0.0309606981	0.0308060674	0.0306354561	0.0304489526	0.0302466538	0.0300286646	0.0297950981	0.0295460754	0.0292817257	0.0290021862	0.0287076018	0.0283981254	0.0280739175	0.0277351463	0.0273819875	0.0270146244	0.0266332474	0.0262380545	0.0258292507	0.0254070479	0.0249716653	0.0245233286
0.0316134042	0.0315852925	0.0315384582	0.0314729290	0.0313887438	0.0312859525	0.0311646160	0.0310248063	0.0308666061	0.0306901094	0.0304954207	0.0302826554	0.0300519396	0.0298034101	0.0295372143	0.0292535099	0.0289524650	0.0286342581	0.0282990780	0.0279471231	0.0275786022	0.0271937337	0.0267927457	0.0263758760	0.0259433716	0.0254954889	0.0250324934	0.0245546595	0.0240622706	0.0235556183
0.0316121559	0.0315803009	0.0315272331	0.0314529880	0.0313576155	0.0312411798	0.0311037589	0.0309454453	0.0307663453	0.0305665791	0.0303462810	0.0301055989	0.0298446944	0.0295637430	0.0292629332	0.0289424671	0.0286025601	0.0282434403	0.0278653491	0.0274685403	0.0270532806	0.0266198489	0.0261685363	0.0256996460	0.0252134929	0.0247104036	0.0241907160	0.0236547792	0.0231029532	0.0225356087
0.0316108296	0.0315749977	0.0315153078	0.0314318052	0.0313245530	0.0311936320	0.0310391414	0.0308611977	0.0306599356	0.0304355069	0.0301880814	0.0299178459	0.0296250047	0.0293097791	0.0289724071	0.0286131437	0.0282322605	0.0278300451	0.0274068015	0.0269628494	0.0264985244	0.0260141773	0.0255101740	0.0249868954	0.0244447369	0.0238841080	0.0233054325	0.0227091475	0.0220957036	0.0214655643
0.0316094253	0.0315693828	0.0315026828	0.0314093816	0.0312895582	0.0311433135	0.0309707712	0.0307720768	0.0305473983	0.0302969253	0.0300208693	0.0297194634	0.0293929621	0.0290416412	0.0286657973	0.0282657477	0.0278418302	0.0273944029	0.0269238436	0.0264305495	0.0259149372	0.0253774421	0.0248185181	0.0242386371	0.0236382888	0.0230179802	0.0223782349	0.0217195933	0.0210426115	0.0203478611
0.0316079431	0.0315634563	0.0314893582	0.0313857181	0.0312526333	0.0310902286	0.0308986565	0.0306780966	0.0304287559	0.0301508683	0.0298446944	0.0295105216	0.0291486633	0.0287594590	0.0283432739	0.0279004984	0.0274315478	0.0269368621	0.0264169055	0.0258721657	0.0253031538	0.0247104036	0.0240944712	0.0234559344	0.0227953923	0.0221134645	0.0214107909	0.0206880306	0.0199458617	0.0191849805
