t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05
0.0003089630	-0.0716968948	0.0140868289	0.0192729155	0.0102118102	-0.0370123822
0.0045180597	-0.0342312685	-0.0803047014	0.0327408210	0.0042289126	-0.0495858582
0.0161988611	-0.0242646680	-0.0754149227	0.0399330358	0.0018663942	-0.0425663037
0.0227199199	0.0117356022	-0.0327414212	-0.0008765253	-0.0112904676	-0.0401003790
0.0030501675	0.0129812540	0.0079518655	0.0362463428	-0.0189443196	-0.0192461220
-0.0077820399	0.0158458959	-0.0067501522	0.0156505492	0.0350170115	-0.0102439868
-0.0045031709	0.0311412461	-0.0300748864	-0.0151246338	0.0094532532	0.0047522443
0.0035585398	0.0190528958	-0.0319145816	-0.0034872656	-0.0314289383	0.0098312461
0.0151973921	0.0300033454	-0.0138185190	0.0324382287	-0.0232139659	0.0171123929
0.0270803819	0.0312527017	-0.0112101145	0.0168428703	0.0087911746	0.0308027345
0.0412555935	0.0372328235	-0.0223399057	-0.0092382156	0.0074275687	0.0401754315
0.0601053730	0.0354309309	-0.0269192061	-0.0037436745	-0.0174936091	0.0345998639
0.0765748976	0.0467495977	-0.0076436765	0.0217939600	-0.0219183144	0.0360070280
0.0838283495	0.0551492086	-0.0059386964	0.0253232702	0.0058166812	0.0216666522
0.0882099065	0.0588145192	-0.0148340645	0.0042164871	0.0152716550	0.0141972274
0.0871773190	0.0497852209	-0.0204550984	-0.0075947974	-0.0181773392	0.0138585249
0.0865856192	0.0451680395	-0.0007468954	0.0289912080	-0.0210673229	0.0144136017
0.0838221444	0.0145724793	-0.0166707268	0.0211990380	0.0172461741	0.0068331761
0.0719720475	-0.0118273751	-0.0196124675	-0.0035491883	0.0099114152	0.0153001936
0.0611493938	0.0085040366	-0.0045966346	0.0009688568	-0.0264828317	0.0112655170
0.0459684861	0.0190923841	-0.0020819716	0.0488548911	-0.0017361700	0.0100234025
0.0311676762	0.0158360937	-0.0005146164	0.0037898777	0.0296859193	0.0145531035
0.0210972150	0.0089225347	-0.0074032659	-0.0204166535	-0.0116616313	0.0175253782
0.0140587840	0.0333951538	-0.0084557250	0.0186259434	-0.0323315939	0.0105454122
0.0050190634	0.0386409867	0.0010027144	0.0483074399	-0.0001365403	0.0147514035
-0.0002545152	0.0556815195	-0.0144210654	0.0188629746	0.0268457084	0.0146892148
-0.0055284745	0.0495411634	-0.0218377733	-0.0127360322	0.0135788691	0.0195942539
-0.0050649436	0.0254026937	-0.0001994132	0.0128293343	-0.0299697741	0.0175812576
-0.0013984551	0.0345604202	-0.0005887834	0.0365581270	0.0046646062	0.0081159866
-0.0026309685	0.0347629459	-0.0132556180	0.0021839079	0.0303303338	-0.0002364576
-0.0036944719	0.0330760571	-0.0283301276	-0.0161882751	0.0104626592	-0.0099682605
0.0037513753	0.0324715511	-0.0177555847	-0.0029228353	-0.0343338670	-0.0317999296
0.0090532528	0.0276898228	0.0101264112	0.0215523894	-0.0142749215	-0.0273315601
0.0110116165	0.0043284376	0.0123838567	-0.0049098391	0.0315506449	-0.0230056241
0.0048614888	-0.0344258901	0.0135275485	-0.0489223377	0.0005158586	-0.0137911300
-0.0055486682	-0.0407782162	0.0173082412	0.0021436550	-0.0246932098	-0.0133848383
-0.0138361266	-0.0480294998	-0.0161804343	0.0113136754	0.0209718668	-0.0067275030
-0.0168445284	-0.0109780442	-0.0159320470	-0.0140929969	-0.0055997175	-0.0077594561
-0.0221119354	0.0082822618	0.0073136977	0.0232387664	-0.0106294415	-0.0000417727
-0.0275479614	0.0048717349	-0.0070469723	0.0003692985	0.0392479468	0.0002555620
-0.0306322303	-0.0428758774	0.0133361639	-0.0414361037	-0.0210214214	0.0124013594
-0.0193347098	-0.0257152691	0.0334143854	0.0181190985	-0.0089856767	0.0057558552
-0.0157369727	0.0070955918	0.0027565346	0.0027029416	0.0296027783	-0.0018097991
-0.0169021608	0.0177534096	-0.0181374776	-0.0159394162	0.0212937995	-0.0064639972
