Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	Cosine06	Cosine07	Cosine08	Cosine09	Cosine10	Cosine11	Cosine12	Cosine13	Cosine14	Cosine15	Cosine16	Cosine17	Cosine18	Cosine19	Cosine20	Cosine21	Cosine22	Cosine23	Cosine24	Cosine25	Cosine26	Cosine27	Cosine28	Cosine29	NonSteadyStateOutlier00
0.0316173173	0.0315772247	0.0315104413	0.0314170236	0.0312970505	0.0311506235	0.0309778663	0.0307789250	0.0305539677	0.0303031845	0.0300267875	0.0297250102	0.0293981077	0.0290463564	0.0286700535	0.0282695172	0.0278450860	0.0273971186	0.0269259936	0.0264321094	0.0259158834	0.0253777519	0.0248181697	0.0242376099	0.0236365632	0.0230155375	0.0223750579	0.0217156657	0.0210379183	0.0203423885	0.0000000000
0.0316158332	0.0315712908	0.0314971000	0.0313933304	0.0312600796	0.0310974725	0.0309056620	0.0306848282	0.0304351783	0.0301569470	0.0298503954	0.0295158115	0.0291535095	0.0287638295	0.0283471376	0.0279038250	0.0274343081	0.0269390278	0.0264184492	0.0258730612	0.0253033759	0.0247099283	0.0240932758	0.0234539974	0.0227926935	0.0221099851	0.0214065133	0.0206829388	0.0199399410	0.0191782178	0.0000000000
0.0316142709	0.0315650450	0.0314830586	0.0313683967	0.0312211784	0.0310415565	0.0308297174	0.0305858809	0.0303103002	0.0300032613	0.0296650827	0.0292961156	0.0288967428	0.0284673788	0.0280084693	0.0275204906	0.0270039491	0.0264593809	0.0258873512	0.0252884538	0.0246633101	0.0240125691	0.0233369060	0.0226370222	0.0219136440	0.0211675223	0.0203994313	0.0196101683	0.0188005525	0.0179714241	0.0000000000
0.0316126306	0.0315584874	0.0314683173	0.0313422234	0.0311803495	0.0309828804	0.0307500417	0.0304820990	0.0301793584	0.0298421653	0.0294709047	0.0290660004	0.0286279147	0.0281571478	0.0276542369	0.0271197562	0.0265543160	0.0259585616	0.0253331732	0.0246788648	0.0239963832	0.0232865076	0.0225500484	0.0217878463	0.0210007715	0.0201897224	0.0193556249	0.0184994313	0.0176221189	0.0167246893	0.0000000000
0.0316109123	0.0315516180	0.0314528766	0.0313148115	0.0311375953	0.0309214495	0.0306666446	0.0303734988	0.0300423789	0.0296736988	0.0292679193	0.0288255479	0.0283471376	0.0278332865	0.0272846371	0.0267018753	0.0260857297	0.0254369707	0.0247564092	0.0240448963	0.0233033215	0.0225326119	0.0217337310	0.0209076778	0.0200554849	0.0191782178	0.0182769733	0.0173528782	0.0164070877	0.0154407845	0.0000000000
0.0316091158	0.0315444369	0.0314367367	0.0312861620	0.0310929184	0.0308572693	0.0305795361	0.0302600975	0.0298993893	0.0294979034	0.0290561874	0.0285748436	0.0280545286	0.0274959519	0.0268998754	0.0262671120	0.0255985248	0.0248950254	0.0241575735	0.0233871747	0.0225848798	0.0217517829	0.0208890203	0.0199977685	0.0190792432	0.0181346971	0.0171654182	0.0161727287	0.0151579823	0.0141225629	0.0000000000
0.0316072413	0.0315369441	0.0314198979	0.0312562763	0.0310463217	0.0307903453	0.0304887267	0.0301419130	0.0297504182	0.0293148226	0.0288357721	0.0283139766	0.0277502097	0.0271453072	0.0265001656	0.0258157413	0.0250930489	0.0243331596	0.0235371999	0.0227063497	0.0218418406	0.0209449541	0.0200170197	0.0190594129	0.0180735533	0.0170609023	0.0160229609	0.0149612677	0.0138773967	0.0127729544	0.0000000000
0.0316052887	0.0315291398	0.0314023608	0.0312251553	0.0309978079	0.0307206837	0.0303942276	0.0300189639	0.0295954953	0.0291245016	0.0286067393	0.0280430397	0.0274343081	0.0267815221	0.0260857297	0.0253480484	0.0245696628	0.0237518227	0.0228958416	0.0220030938	0.0210750131	0.0201130898	0.0191188685	0.0180939457	0.0170399674	0.0159586260	0.0148516579	0.0137208408	0.0125679905	0.0113949583	0.0000000000
0.0316032580	0.0315210240	0.0313841256	0.0311928004	0.0309473802	0.0306482905	0.0302960501	0.0298912698	0.0294346516	0.0289269873	0.0283691574	0.0277621293	0.0271069557	0.0264047727	0.0256567981	0.0248643292	0.0240287401	0.0231514800	0.0222340703	0.0212781018	0.0202852326	0.0192571844	0.0181957400	0.0171027404	0.0159800808	0.0148297084	0.0136536181	0.0124538494	0.0112324831	0.0099916372	0.0000000000
0.0316011493	0.0315125967	0.0313651928	0.0311592129	0.0308950416	0.0305731723	0.0301942061	0.0297588508	0.0292679193	0.0287223286	0.0281230976	0.0274713453	0.0267682889	0.0260152414	0.0252136092	0.0243648894	0.0234706669	0.0225326119	0.0215524760	0.0205320899	0.0194733591	0.0183782609	0.0172488403	0.0160872067	0.0148955295	0.0136760341	0.0124309981	0.0111627466	0.0098736481	0.0085661100	0.0000000000
