component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
dropped818	0	8.4931473791	0.0000310541	0.9953012776	False
dropped819	0	8.4888104337	0.0000310224	0.9953323000	False
dropped820	0	8.4614901393	0.0000308230	0.9953631229	False
dropped821	0	8.4327161234	0.0000306137	0.9953937367	False
dropped822	0	8.4207507897	0.0000305269	0.9954242636	False
dropped823	0	8.3992734219	0.0000303714	0.9954546349	False
dropped824	0	8.3872235316	0.0000302843	0.9954849192	False
dropped825	0	8.3636239827	0.0000301141	0.9955150334	False
dropped826	0	8.3496363170	0.0000300135	0.9955450468	False
dropped827	0	8.3234171090	0.0000298253	0.9955748721	False
dropped828	0	8.2814913278	0.0000295256	0.9956043977	False
dropped829	0	8.2747243377	0.0000294773	0.9956338750	False
dropped830	0	8.2485830531	0.0000292914	0.9956631664	False
dropped831	0	8.2388380372	0.0000292222	0.9956923886	False
dropped832	0	8.2177524843	0.0000290728	0.9957214614	False
dropped833	0	8.2006087653	0.0000289516	0.9957504130	False
dropped834	0	8.1922957124	0.0000288930	0.9957793060	False
dropped835	0	8.1693787110	0.0000287316	0.9958080376	False
dropped836	0	8.1409477982	0.0000285319	0.9958365695	False
dropped837	0	8.1165414714	0.0000283611	0.9958649306	False
dropped838	0	8.0996729771	0.0000282433	0.9958931739	False
dropped839	0	8.0687002358	0.0000280278	0.9959212017	False
dropped840	0	8.0571031676	0.0000279472	0.9959491489	False
dropped841	0	8.0348374274	0.0000277930	0.9959769419	False
dropped842	0	8.0222870475	0.0000277062	0.9960046481	False
dropped843	0	8.0080600869	0.0000276080	0.9960322562	False
dropped844	0	7.9867424955	0.0000274613	0.9960597175	False
dropped845	0	7.9782614333	0.0000274030	0.9960871204	False
dropped846	0	7.9631752787	0.0000272994	0.9961144199	False
dropped847	0	7.9460909289	0.0000271824	0.9961416023	False
dropped848	0	7.9206871889	0.0000270089	0.9961686112	False
dropped849	0	7.9034740940	0.0000268916	0.9961955028	False
dropped850	0	7.8893268659	0.0000267954	0.9962222982	False
dropped851	0	7.8657036836	0.0000266352	0.9962489335	False
dropped852	0	7.8406438120	0.0000264658	0.9962753992	False
dropped853	0	7.8227441009	0.0000263451	0.9963017443	False
dropped854	0	7.8047157123	0.0000262238	0.9963279681	False
dropped855	0	7.7867057588	0.0000261029	0.9963540710	False
dropped856	0	7.7736419613	0.0000260154	0.9963800864	False
dropped857	0	7.7657137495	0.0000259623	0.9964060487	False
dropped858	0	7.7342160800	0.0000257522	0.9964318009	False
dropped859	0	7.7143703128	0.0000256202	0.9964574210	False
