t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09
0.0054971247	0.0031182116	-0.0093243730	0.0070228068	-0.0241387147	-0.0068253684	-0.0276192401	-0.0368288151	-0.0107064320	0.0169177432
-0.0102923122	-0.0030346181	0.0350182929	0.0113393585	-0.0017883429	-0.0244986290	0.0292725468	-0.0242328474	-0.0095699351	0.0209799901
-0.0080601287	-0.0073910891	-0.0333899570	0.0125712400	0.0113685931	0.0177688545	0.0276872876	-0.0178479896	-0.0061856754	0.0153269992
0.0062792273	-0.0102514181	0.0092623754	-0.0145293746	-0.0182018361	0.0575188036	-0.0063643298	-0.0271984622	-0.0103057529	0.0162730616
-0.0084584827	-0.0026254094	0.0053382625	0.0115353736	0.0295928860	0.0293734383	-0.0293060790	-0.0275290403	-0.0208119901	0.0224085090
-0.0002762620	0.0034483416	-0.0087406830	-0.0018736913	-0.0239634014	0.0071655261	-0.0273577470	-0.0197087988	-0.0372177957	0.0068180977
0.0087259585	0.0124303142	0.0193790142	-0.0228415708	0.0167493477	-0.0125829827	-0.0271913261	-0.0242605377	-0.0381800284	0.0057456919
0.0005655773	0.0239783925	-0.0040103930	0.0202269454	-0.0228397742	-0.0203767093	-0.0211676689	-0.0225183763	-0.0153733734	0.0040834844
-0.0160753337	0.0223938299	0.0413018432	0.0112391734	-0.0032884446	-0.0130160973	0.0375179204	-0.0204703160	0.0165999326	0.0166504351
-0.0034548380	0.0155100694	-0.0291424497	0.0148755027	0.0180561447	0.0129243837	0.0406708073	-0.0226660069	0.0103972915	0.0134490500
0.0019511217	0.0068140881	0.0106768984	0.0061809381	-0.0107344887	0.0328298343	0.0150542142	-0.0365443752	0.0368213197	0.0190764220
-0.0125332739	-0.0049976823	-0.0014244278	0.0277631659	0.0309206525	0.0230873296	-0.0111913359	-0.0344159674	0.0027773752	0.0174353486
-0.0061321452	-0.0211871011	-0.0040350489	-0.0046623613	-0.0244543946	-0.0008418918	-0.0263031043	-0.0363759224	-0.0046310712	0.0103347996
0.0039466968	-0.0272425347	0.0174206912	-0.0173161137	0.0162303178	-0.0275432416	-0.0173599853	-0.0226360492	-0.0340117459	0.0098132978
-0.0034681442	-0.0266205156	-0.0100733739	0.0172049407	-0.0149759192	-0.0265479627	-0.0045676101	-0.0061490473	-0.0233313798	0.0268295815
-0.0058545942	-0.0259129534	0.0302022795	0.0023018491	0.0057576094	-0.0203576117	0.0045724729	0.0086052930	-0.0355443333	0.0177281551
