global_signal	csf	white_matter	csf_wm	tcompcor
11353.118867259025	14330.116849387088	11395.280236725861	11796.547790851217	8529.122996558213
11357.887655030554	14257.840295347716	11383.915454743605	11788.675924224779	8648.330564824546
11375.57938138149	14347.572691622292	11398.487794532699	11805.267956466418	9202.769510430437
11360.293044439855	14356.901184238131	11400.54108744317	11811.483547742506	9149.102261054806
11359.828080098196	14314.405786616722	11404.311486931645	11805.622415295098	8851.160830886965
11357.141418836982	14338.865748332284	11394.305974712102	11801.059718410346	8784.051266478717
11384.367057958045	14422.52228688584	11415.157008720907	11828.471682072375	9461.947984946646
11370.142196301422	14440.336871681311	11405.639959416354	11837.392236822767	8949.968197135615
11378.212070812857	14327.87015933454	11424.901500740489	11837.898029804	9209.341325266769
11414.814302579678	14326.627718796206	11428.374921679095	11829.99658041189	9383.764709522278
11391.529993825807	14296.805611807977	11404.431699067294	11804.64077515885	9448.1130612133
11377.959412894586	14352.30138801126	11402.252559978257	11797.935753711456	9588.695194870863
11378.220187842184	14409.59817746838	11406.546679362364	11819.046754357669	9594.004309851174
11383.96204868524	14374.333391974955	11412.80188133358	11818.980098394974	9461.036837563863
11375.915619622861	14402.758763149875	11409.405528319983	11829.909654572226	9750.133840768705
11348.976679900074	14364.96909872772	11408.876641693423	11821.248628107523	9709.002006195813
11311.334624799305	14297.886857210828	11403.294565695971	11817.373924914156	9364.181354702585
11284.646166766577	14337.323370814018	11399.381761999766	11815.14180823702	9318.964116116656
11260.950876204495	14242.655366785386	11395.487178933678	11810.838025370485	9040.277144269245
11246.872358437668	14255.788274506474	11376.125894213397	11788.447689930483	8827.851941240513
11260.023749415186	14226.148703806846	11367.812934592537	11778.027565852606	8786.502950007742
11268.13115345453	14252.660359072868	11363.189707575339	11770.320451779695	8926.320581640848
11267.659278180843	14284.657468361624	11347.531299809709	11768.122085806832	9020.81158315767
11263.17442753299	14213.799803282598	11341.69089151538	11748.501434731012	8909.900151793938
11270.61423766728	14238.009868651096	11347.434981548698	11759.64599385609	8851.766432692364
11272.695578838759	14241.50885462456	11345.40013189438	11748.432930150931	8978.133222279122
11283.456899205285	14274.668251291261	11354.228735359793	11758.620791282967	8951.288298754189
11296.54882974348	14236.469160855579	11362.938334716468	11760.934880390527	8787.845749757347
11329.987906699984	14292.176491037355	11391.186757350724	11793.414032100194	9178.656805097378
11327.563333309985	14289.146826546516	11388.324904976225	11790.849823294317	9144.01697596108
11350.973227081626	14345.185334266604	11397.439486708741	11801.108278840393	9062.52890932657
11350.386462795104	14337.748636621343	11388.135589208623	11789.762066853547	9339.287323246157
11335.945169853127	14238.5929897923	11375.188519499066	11771.871980783966	9118.109800397671
11337.667151973164	14287.282974784637	11371.05482150571	11770.254532618506	9239.806556352754
11337.749649040614	14284.712386889836	11379.267953102282	11783.108405474355	9027.13571278952
11328.641576429756	14281.838806464544	11380.549735338722	11787.34818336645	9320.757403874592
11330.88337546692	14275.66506595075	11384.010313562661	11785.750553217593	9156.157126698068
11339.879834263798	14191.380584014347	11368.841469433528	11764.821928444773	8983.939324479763
11352.40211612798	14298.468775366273	11380.245264692558	11776.519084306598	9373.44950313413
11347.67847372418	14328.18830321329	11368.660282662328	11770.21468721676	9464.37831314211
11323.881812991149	14207.216660911774	11357.08064312205	11756.543822241129	9174.82279618426
11332.92056851368	14314.298886038154	11365.107701657193	11769.005248081265	9381.055603399509
11334.999303905746	14286.871675066935	11372.079688290205	11784.836191062357	9563.725052376103
11309.648712103053	14211.55807268772	11363.76705874998	11769.018108347678	9354.504694211386
